yields.id,genus,species,sitename,lat,lon,fertilizer_n,irrigated,planting_year,year,stand_age,planting_density,yield
1143,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,4.7
1144,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,10.4
1145,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.3
1146,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,4.1
1147,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,15.9
1148,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,1.4
1149,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,1.4
1150,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,0.9
1151,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,1.4
1152,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,7.8
1153,Miscanthus,Miscanthus sinensis Hybrid,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,18.2
1154,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.4
1155,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,5.2
1156,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,15
1157,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.3
1158,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,3.1
1159,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,12.4
1160,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.3
1161,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,3.3
1162,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,11.2
1163,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.6
1164,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,2.4
1165,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,9.9
1166,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/27/1997,1,20000,0.2
1167,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/19/1998,2,20000,1.9
1168,Miscanthus,Miscanthus sinensis,"Danish Institute of Agricultural Sciences, Research Centre Foulum",56.5,9.58,60,TRUE,1996,11/18/1999,3,20000,6.8
1169,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.6
1170,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,3
1171,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,13.8
1172,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.8
1173,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,5.7
1174,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,16.8
1175,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.9
1176,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,5.9
1177,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,18.7
1178,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.8
1179,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,5.3
1180,Miscanthus,Miscanthus x giganteus,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,14.6
1181,Miscanthus,Miscanthus sacchariflorus,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.4
1182,Miscanthus,Miscanthus sacchariflorus,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,1.9
1183,Miscanthus,Miscanthus sacchariflorus,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,11.1
1184,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,1.4
1185,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,7
1186,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,15.7
1187,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,1.2
1188,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,5.9
1189,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,17.7
1190,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,0.2
1191,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,1.4
1192,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/3/1999,2,20000,6.5
1193,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/15/1997,0,20000,1.7
1194,Miscanthus,Miscanthus sinensis Hybrid,Harpenden,51.8,-0.35,60,TRUE,1997,11/24/1998,1,20000,7.7
